network_Gin_1,network_Gin_2,network_Gin_3,network_cAMP_1,network_cAMP_2,network_cAMP_3,network_Ca_1,network_Ca_2,network_Ca_3,network_S_1,network_S_2,network_S_3,network_I_1,network_I_2,network_I_3,meta_network_Gin_1,meta_network_Gin_2,meta_network_Gin_3,meta_network_cAMP_1,meta_network_cAMP_2,meta_network_cAMP_3,meta_network_Ca_1,meta_network_Ca_2,meta_network_Ca_3,meta_network_S_1,meta_network_S_2,meta_network_S_3,meta_network_I_1,meta_network_I_2,meta_network_I_3
2.5555,2e-12,1.41421356237309e-06,0.0013,1e-12,1e-06,0.000100000000000007,1e-12,1e-06,34,0.0001,0.01,25,0.0001,0.01,2.59160027069569,0.000532586256283991,0.0230778304067777,0.00130000777733924,9.99911269928841e-13,9.99955633980249e-07,9.99682227077383e-05,9.54432558825638e-13,9.76950642983379e-07,34.0000002086636,8.33333323634658e-05,0.00912870923863093,25,0.0001,0.01
2.5555,2e-12,1.41421356237309e-06,0.00119566666666667,1.11111123912222e-12,1.05409261411046e-06,0.000100000000000016,1.25147928994096e-12,1.11869535171152e-06,33.9999999999995,0.115699999999991,0.340147027033885,25,0.000138516435986159,0.0117693005733629,2.64346971396565,0.000681734735283534,0.0261100504649749,0.00102902775646264,1.1109822815917e-12,1.05403144241132e-06,9.99685337687346e-05,1.18103736144164e-12,1.08675542853102e-06,33.9891889674934,0.11042481990776,0.33230230198986,25.0000000767145,0.000136263696524041,0.0116732042098149
2.5555,2e-12,1.41421356237309e-06,0.00116232863888889,1.12345695649686e-12,1.05993252450185e-06,9.5987179487212e-05,1.31500657481158e-12,1.14673736086847e-06,33.9999999996168,0.144771005916772,0.380487852521959,24.9999999999993,0.0157731455449809,0.125591184184961,2.70184794610019,0.000797601975389033,0.0282418479457176,0.000943199591943008,4.92076006959092e-12,2.21827862758287e-06,8.99267011428757e-05,1.23826013059592e-12,1.11277137391107e-06,33.9892432781487,0.136619313087871,0.369620498738734,24.9960254219679,0.0150595748605038,0.12271745947706
2.5555,2e-12,1.41421356237309e-06,0.00115193583796296,1.12482871460558e-12,1.06057942399689e-06,9.26985373931933e-05,1.33104363029107e-12,1.15370864185507e-06,32.6356410255378,0.152114760048039,0.39001892267945,24.9999999706965,0.0314236667276017,0.177267218423491,2.7509353032304,0.000889501096512063,0.0298245049667562,0.000921219395392474,1.06471599330563e-11,3.26299861064272e-06,8.1810352492083e-05,1.25494989647271e-12,1.12024546259858e-06,30.5751020103491,0.143234236872976,0.37846299273902,24.9940581591348,0.0295471638541526,0.171892884827013
2.5555,2e-12,1.41421356237309e-06,0.00114883150848766,1.1249811360565e-12,1.0606512791943e-06,9.06544932336577e-05,1.33508383960085e-12,1.15545828120311e-06,31.5175027141398,0.153968643661876,0.392388383698952,24.4983974856562,0.0402544224370636,0.20063504787814,2.79077092554076,0.000964519413955555,0.0310567128646216,0.00092213681383658,1.70048780569976e-11,4.12369713448958e-06,7.69603416366775e-05,1.2671096004435e-12,1.12565962903691e-06,27.8155958036885,0.145163590591218,0.381003399710839,23.7378753695218,0.0375836006995005,0.193864903217422
2.5555,2e-12,1.41421356237309e-06,0.00114797670074589,1.1249980729024e-12,1.06065926333691e-06,8.95130738663692e-05,1.33609961319256e-12,1.15589775204927e-06,30.8225276996791,0.154435691857734,0.392983068156548,23.8365155837789,0.0441937994499514,0.2102232133946,2.82256039838562,0.0010279059139849,0.0320609718190966,0.000930709462707779,2.32387306930034e-11,4.8206566661611e-06,7.45351421965916e-05,1.28296145719534e-12,1.13267888529598e-06,26.166613157517,0.146569144965435,0.382843499311971,22.095259854128,0.0411147389702972,0.202767697058228
2.5555,2e-12,1.41421356237309e-06,0.00114778174920696,1.12499995508283e-12,1.06066015060566e-06,8.89094869618726e-05,1.33635457277257e-12,1.15600803317822e-06,30.4344451147912,0.15455311528522,0.393132439879006,23.2500695752707,0.0457383612724393,0.213865287675301,2.84774158455462,0.00108339524856065,0.0329149699766026,0.000941063864794554,2.89136293842773e-11,5.37713951690649e-06,7.35764499670445e-05,1.30289561756852e-12,1.1414445310958e-06,25.3420458614612,0.148401430648683,0.385229062570159,20.6677084469951,0.0426184424533078,0.206442346560263
2.5555,2e-12,1.41421356237309e-06,0.00114776175754815,1.12500016429555e-12,1.06066024922949e-06,8.86001953735225e-05,1.33641848899322e-12,1.15603567807971e-06,30.2292255669223,0.154582588612519,0.393169923331527,22.8141689693243,0.0462963409438304,0.215165845207436,2.86763725954798,0.00113355042189191,0.033668240552365,0.000950948054398293,3.38977773627135e-11,5.82217977760164e-06,7.34083459008004e-05,1.32512962709386e-12,1.15114274835654e-06,25.0160810788149,0.150705609548373,0.388208203865366,19.650782978885,0.0435271534672907,0.208631621446248
2.5555,2e-12,1.41421356237309e-06,0.00114777758975563,1.12500018756254e-12,1.06066026019765e-06,8.84447806693897e-05,1.33643449821004e-12,1.15604260224701e-06,30.1240664270963,0.154589977327767,0.393179319557586,22.5207705041324,0.0464868054766104,0.215607990289345,2.88338683678458,0.00118009789107921,0.034352552904831,0.000959585131788072,3.82428066781202e-11,6.18407686547638e-06,7.36212487357516e-05,1.34782341333412e-12,1.16095797225142e-06,24.9589118738832,0.153275668717923,0.391504366154354,19.0224801440257,0.0444420598052163,0.210812854933508
2.5555,2e-12,1.41421356237309e-06,0.001147794115205,1.12500019015316e-12,1.06066026141888e-06,8.83676822483566e-05,1.33643850562698e-12,1.15604433549366e-06,30.0712254276061,0.154591827993158,0.393181673012817,22.3354093771406,0.0465491710525475,0.215752569052022,2.89591307026097,0.00122418079859267,0.0349882951655646,0.000966815378103676,4.20706686665609e-11,6.48619061287601e-06,7.39869671739789e-05,1.36980021499196e-12,1.17038464403458e-06,25.0312853542668,0.155898913101365,0.394840364073083,18.6873105545585,0.0455226578752882,0.213360394345549
2.5555,2e-12,1.41421356237309e-06,0.00114780524771156,1.12500019044238e-12,1.06066026155522e-06,8.83297686320551e-05,1.33643950834309e-12,1.15604476917769e-06,30.0450119645572,0.154592291250579,0.393182262126077,22.2233025181463,0.0465689521587109,0.21579840629326,2.90596303450381,0.00126655942965246,0.0355887542582268,0.000972730836672611,4.55089887307956e-11,6.74603503776816e-06,7.4387098143334e-05,1.39055347204989e-12,1.17921731332689e-06,25.1556172287808,0.158439311214692,0.398044358350539,18.5463337048062,0.0467426351906784,0.216200451411829
